1970-01-01 00:00:00.000000|||||||||||||||||
1970-01-01 00:00:00.008000|||||||||||||||||
1970-01-01 00:00:00.016059|||||||||||||||||
1970-01-01 00:00:00.023059|||||||||||||||||
1970-01-01 00:00:00.168734|193.167.0.100|193.167.100.100|1288|43567|443|0x00000001|0||474085364468c31a03a0f5624295aaadcc|0,6|||||1|server4|63
1970-01-01 00:00:00.206894|193.167.100.100|193.167.0.100|1240|443|43567|0x00000001|0|400000911b2791c0||6,2,0|104||0||2||63
1970-01-01 00:00:00.207434|193.167.0.100|193.167.100.100|1288|43567|443|0x00000001|0||400000911b2791c0|2,0|0||0||||63
1970-01-01 00:00:00.207529|193.167.100.100|193.167.0.100|772|443|43567|0x00000001|2|400000911b2791c0||6||||3|8,11,15,20||63
1970-01-01 00:00:00.208482|193.167.0.100|193.167.100.100|90|43567|443|0x00000001|2||400000911b2791c0|2,6|0||0||20||63
1970-01-01 00:00:00.208571|193.167.0.100|193.167.100.100|54|43567|443||||400000911b2791c0|9|||||||63
1970-01-01 00:00:00.238904|193.167.100.100|193.167.0.100|46|443|43567|0x00000001|2|400000911b2791c0||2|23||0||||63
1970-01-01 00:00:00.238966|193.167.100.100|193.167.0.100|56|443|43567|||||30,0|||||||63
1970-01-01 00:00:00.239331|193.167.0.100|193.167.100.100|43|43567|443||||400000911b2791c0|2|17||0||||63
1970-01-01 00:00:00.240161|193.167.100.100|193.167.0.100|1080|443|43567|||||2,11,0|60||0||||63
1970-01-01 00:00:00.240500|193.167.0.100|193.167.100.100|38|43567|443||||400000911b2791c0|29|||||||63
1970-01-01 00:00:00.270855|193.167.100.100|193.167.0.100|41|443|43567|||||28|||||||63
1970-01-01 00:00:00.271011|193.167.0.100,193.167.100.100|193.167.100.100,193.167.0.100|41|443|43567|||||28|||||||63,62
